"codigo";"Marca";"descripcion";"cantidad";"precio"
"1";"(Ref: 445072)";"Riccadonna";"Espumante Asti Dolce Botella";"750 cc";"$10.390"
"2";"(Ref: 606612)";"Misiones de Rengo";"Vino Espumante Brut Botella";"750 g";"$4.390"
"3";"(Ref: 606613)";"Misiones de Rengo";"Espumante Demi Sec Botella";"750 ml";"$4.490"
"4";"(Ref: 264304)";"Valdivieso";"Brut Botella";"750 cc";"$3.950"
"5";"(Ref: 242539)";"Concha y Toro";"Vino Tinto Merlot Exportación Botellón";"1500 cc";"$1.674"
"6";"(Ref: 403047)";"Martini";"Espumoso Asti 11.5° Botella";"750 cc";"$9.890"
"7";"(Ref: 491933)";"Amaranta";"Espumante Brut Botella";"750 cc";"$4.290"
"8";"(Ref: 257828)";"Palo Alto";"Vino Reserva Cabernet Sauvignon/ Carmenere/ Shiraz Botella";"750 cc";"$4.490"
"9";"(Ref: 367535)";"Viñamar";"Vino Espumante Brut";"750 cc";"$4.590"
"10";"(Ref: 396551)";"Misiones de Rengo";"Gran Reserva Cuvée Cabernet Sauvignon Botella";"750 cc";"$6.590"
"11";"(Ref: 520427)";"Viñamar";"Vino Espumante Premium Brut";"750 cc";"$6.090"
"12";"(Ref: 532678)";"Casa Silva";"Vino Carmenere Colección Botella";"750 ml";"$5.190"
"13";"(Ref: 258082)";"Valdivieso";"Espumante Moscato Demi Sec Botella";"750 cc";"$3.950"
"14";"(Ref: 269010)";"Undurraga";"Vino Espumante Brut Botella";"750 cc";"$4.590"
"15";"(Ref: 376500)";"Tarapacá";"Gran Reserva Cabernet Sauvignon Botella";"750 cc";"$8.390"
"16";"(Ref: 673907)";"Misiones de Rengo";"Espumante Moscato";"750 cc";"$4.490"
"17";"(Ref: 257575)";"Valdivieso";"Champaña Rose Botella";"750 cc";"$3.950"
"18";"(Ref: 262606)";"Concha y Toro";"Vino Cabernet Sauvignon Casillero del Diablo Reserva";"750 cc";"$4.490"
"19";"(Ref: 309740)";"Chandon";"Vino Espumante Brut 12.5° Botella";"750 cc";"$11.590"
"20";"(Ref: 307907)";"Santa Helena";"Vino Carmenere Reserva";"750 cc";"$3.650"
"21";"(Ref: 367533)";"Viñamar";"Vino Espumante Demi Sec";"750 cc";"$4.990"
"22";"(Ref: 445275)";"Casillero del Diablo";"Vino Tinto Carmenére Botella";"375 cc";"$2.590"
"23";"(Ref: 403046)";"Martini";"Espumante Prosecco Botella";"750 cc";"$9.890"
"24";"(Ref: 312774)";"Bodega Uno";"Vino Tinto Caja";"2 L";"$2.590"
"25";"(Ref: 263833)";"Misiones de Rengo";"Vino Merlot Reserva Botella";"750 cc";"$3.990"
"26";"(Ref: 491934)";"Amaranta";"Espumante Demi Sec Botella";"750 cc";"$3.990"
"27";"(Ref: 328269)";"Miguel Torres";"Vino Orgánico Carmenère Botella 750 cc";"750 cc";"$5.890"
"28";"(Ref: 257548)";"Concha y Toro";"Late Harvest Sauvignon Blanc Botella";"350 cc";"$2.790"
"29";"(Ref: 624338)";"Tierra del Fuego";"Reserva Carmenère Botella";"750 cc";"$4.390"
"30";"(Ref: 253181)";"Tarapacá";"Vino Cabernet Sauvignon Tarapacá Reserva Botella";"750 cc";"$4.590"
"31";"(Ref: 377151)";"Santa Helena";"Vino Blanco Caja";"2 L";"$2.850"
"32";"(Ref: 595598)";"Heroes";"Vino Carménere Reserva Especial 14° Botella";"750 cc";"$5.390"
"33";"(Ref: 517662)";"Valdivieso";"Espumante Brut Botella";"750 cc";"$4.550"
"34";"(Ref: 264602)";"Misiones de Rengo";"Vino Cabernet Sauvignon Reserva";"750 cc";"$3.990"
"35";"(Ref: 313402)";"Carmen";"Vino Cabernet Sauvignon Margaux";"4 Botellas 187 ml c/u";"$2.390"
"36";"(Ref: 396547)";"Misiones de Rengo";"Gran Reserva Cuvée Carmenère Botella";"750 cc";"$6.590"
"37";"(Ref: 295223)";"Misiones de Rengo";"Misiones de Rengo Sauvignon Blanc Botella";"750 cc";"$2.490"
"38";"(Ref: 639940)";"Entre Vientos";"Vino Gran Reserva Cabernet Sauvignon";"750 cc";"$5.890"
"39";"(Ref: 262677)";"Concha y Toro";"Vino Blanco Exportación Botellón";"1500 cc";"$2.250"
"40";"(Ref: 437816)";"Terra Andina";"Vino Tinto Carmenere Free Spirited Botella";"750 cc";"$3.490"
"41";"(Ref: 518062)";"Santa Rita";"Vino Secret Reserve Cabernet Sauvignon Botella";"750 cc";"$3.690"
"42";"(Ref: 532679)";"Casa Silva";"Vino Colección Cabernet Sauvignon Botella";"750 cc";"$5.190"
"43";"(Ref: 280017)";"Casa Silva";"Vino Carmenere Doña Dominga";"750 cc";"$3.590"
"44";"(Ref: 532812)";"Casa Rivas";"Vino Merlot Botella";"750 cc";"$3.150"
"45";"(Ref: 393859)";"Misiones de Rengo";"Vino Cabernet Sauvignon /Syrah Reserva";"750 cc";"$3.990"
"46";"(Ref: 639939)";"Entre Vientos";"Vino Gran Reserva Carmenere";"750 cc";"$5.890"
"47";"(Ref: 270924)";"Cachapoal";"Vino Reserva Especial Cabernet Sauvignon - Merlot - Petit Verdot Botella";"750 ml";"$3.990"
"48";"(Ref: 294579)";"Misiones de Rengo";"Vino Carmenere";"750 cc";"$2.490"
"49";"(Ref: 578873)";"Montes";"Montes Alpha Carmenère Botella";"750 cc";"$11.590"
"50";"(Ref: 647511)";"Alto Tierruca";"Vino Reserva Carmenere";"750 cc";"$4.590"
"51";"(Ref: 313472)";"Santa Helena";"Sauvignon Blanc Sauvignon Blanc Botella";"750 cc";"$3.650"
"52";"(Ref: 551043)";"Palmira";"Vino Cabernet Sauvignon Gran Reserva 2013 Botella";"750 ml";"$5.190"
"53";"(Ref: 308936)";"Viña Mar";"Vino Sauvignon Blanc Reserva Botella";"750 cc";"$4.150"
"54";"(Ref: 307912)";"Tarapacá";"Late Harvest Botella 500 cc";"500 cc";"$3.490"
"55";"(Ref: 367540)";"Santa Helena";"Vino Cabernet Sauvignon Reserva";"750 cc";"$3.650"
"56";"(Ref: 647510)";"Alto Tierruca";"Vino Reserva Merlot - Malbec";"750 cc";"$2.990"
"57";"(Ref: 367418)";"Concha y Toro";"Vino Orgánico Carmenère Botella 750 cc";"750 cc";"$9.990"
"58";"(Ref: 471767)";"Santa Helena";"Vino Gran Reserva Carmenere Botella Selección del Directorio";"750 cc";"$5.390"
"59";"(Ref: 477338)";"Puro Andes";"Vino Gran Reserva Carmenere Botella";"750 cc";"$5.990"
"60";"(Ref: 648854)";"Sol de Chile";"Vino Tinto Carménére";"750 cc";"$4.490"
"61";"(Ref: 532815)";"Casa Rivas";"Vino Sauvignon Blanc Botella";"750 cc";"$3.150"
"62";"(Ref: 308639)";"Tarapacá";"Gran Reserva Merlot Botella";"750 cc";"$8.390"
"63";"(Ref: 257737)";"Concha y Toro";"Vino Carmenere Casillero del Diablo Reserva";"750 cc";"$4.490"
"64";"(Ref: 293471)";"Carmen";"Clásico Chardonnay Botella";"750 cc";"$2.090"
"65";"(Ref: 506706)";"Terra Andina";"Vino Sauvignon Blanc Botella";"750 cc";"$3.490"
"66";"(Ref: 280004)";"Viña Maipo";"Reserva Carmenère Botella";"750 cc";"$5.790"
"67";"(Ref: 624337)";"Tierra del Fuego";"Vino Reserva Cabernet Sauvignon Botella";"750 cc";"$4.390"
"68";"(Ref: 363759)";"Santa Helena";"Vino de Mesa Tetra Tetra";"2000 cc";"$2.490"
"69";"(Ref: 632215)";"Duchamps";"Sidra Pera 4.5º";"750 cc";"$3.990"
"70";"(Ref: 532675)";"Casa Silva";"Vino Colección Sauvignon Blanc Botella";"750 cc";"$5.190"
"71";"(Ref: 595600)";"Heroes";"Vino Red Blend Reserva Especial 14° Botella";"750 cc";"$5.390"
"72";"(Ref: 294734)";"Terra Andina";"Vino Merlot / Syrah Reserva";"750 cc";"$3.490"
"73";"(Ref: 257633)";"Concha y Toro";"Casillero del Diablo Sauvignon Blanc Botella";"700 cc";"$4.490"
"74";"(Ref: 242526)";"Concha y Toro";"Vino Selecto Exportación Cabernet Sauvignon Botella";"1,5 L";"$2.650"
"75";"(Ref: 294541)";"Misiones de Rengo";"Reserva Carmenère Botella";"750 cc";"$3.990"
"76";"(Ref: 367442)";"Concha y Toro";"Marqués de Casa Concha Cabernet Sauvignon Botella";"700 cc";"$9.990"
"77";"(Ref: 532809)";"Casa Rivas";"Vino Cabernet Sauvignon Botella";"750 cc";"$3.150"
"78";"(Ref: 293435)";"Carmen";"Insigne Chardonnay Botella";"750 cc";"$2.050"
"79";"(Ref: 580258)";"Celebrite";"Espumante Demi Sec Botella";"750 ml";"$4.190"
"80";"(Ref: 254070)";"Tarapacá";"Gran Reserva Carmenère Botella";"750 cc";"$8.390"
"81";"(Ref: 313005)";"Carmen";"Pack 4 Vinos Sauvignon Blanc + Rhin Riesling";"";"$2.390"
"82";"(Ref: 346599)";"Misiones de Rengo";"Vino Chardonnay Botella";"750 cc";"$2.490"
"83";"(Ref: 257540)";"Santa Emiliana";"Vino Sauvignon Blanc Santa Emiliana Botella";"700 cc";"$2.390"
