"codigo";"Marca";"descripcion";"cantidad";"precio"
"1";"(Ref: 282854)";"Lomo Liso";"Al Vacío";"1,7 Kg";"$13.583"
"2";"(Ref: 282922)";"Lomo Vetado";"Al Vacío";"2,0 Kg";"$13.980"
"3";"(Ref: 564070)";"Entraña";"Black Beef";"1,2 Kg";"$20.787"
"4";"(Ref: 518704)";"El Buen Corte";"Tartaro 4% Grasa";"500 g";"$4.390"
"5";"(Ref: 518710)";"El Buen Corte";"Carne Molida Especial 7% Grasa";"500 g";"$4.090"
"6";"(Ref: 518707)";"El Buen Corte";"Carne Molida 10% Grasa";"500 g";"$3.190"
"7";"(Ref: 259930)";"Filete";"Al Vacío";"2 Kg";"$19.980"
"8";"(Ref: 282373)";"Choclillo";"Al Vacío";"1,3 Kg";"$5.187"
"9";"(Ref: 283049)";"Pollo Ganso";"Al Vacío";"2,2 Kg";"$9.522"
"10";"(Ref: 654273)";"Friboi";"Carne Molida 10% de Grasa Congelada";"500 g";"$2.490"
"11";"(Ref: 282521)";"Posta Negra";"Al Vacío";"1.8 Kg";"$10.782"
"12";"(Ref: 654270)";"Friboi";"Tártaro 4% de Grasa Congelada";"500 g";"$3.290"
"13";"(Ref: 283110)";"Posta Paleta";"Al Vacío";"1,7 Kg";"$8.483"
"14";"(Ref: 259853)";"Asiento";"Al Vacío";"1,7 Kg";"$10.183"
"15";"(Ref: 398110)";"Posta Rosada";"Al Vacío Nacional, Arg. o Uru.";"2,5 Kg";"$12.372,5"
"16";"(Ref: 522408)";"El Buen Corte";"Bistec Bandeja Asiento";"400 g";"$3.396"
"17";"(Ref: 522428)";"El Buen Corte";"Escalopa Bandeja Posta Negra";"400 g";"$2.996"
"18";"(Ref: 522432)";"El Buen Corte";"Bistec Bandeja Posta Rosada";"400 g";"$3.036"
"19";"(Ref: 522424)";"Posta Negra";"Bistec Bandeja El Buen Corte";"400 g";"$3.036"
"20";"(Ref: 662628)";"El Buen Corte";"Asado Americano Sobrecostilla/Huachalomo";"800 gr";"$5.592"
"21";"(Ref: 518705)";"El Buen Corte";"Tartaro 4% Grasa";"250 g";"$2.290"
"22";"(Ref: 398818)";"Sobrecostilla";"Al Vacio";"1,7 Kg";"$8.483"
"23";"(Ref: 450113)";"Punta Ganso";"Al Vacío Americano";"2 kg";"$17.980"
"24";"(Ref: 282762)";"Huachalomo";"Al Vacio";"1,7 Kg";"$8.483"
"25";"(Ref: 547976)";"Entraña";"Al Vacío Americano";"1 Kg";"$13.490"
"26";"(Ref: 282301)";"Abastero";"Al Vacío";"1,6 Kg";"$7.984"
"27";"(Ref: 283291)";"Tapapecho";"Al Vacío";"1,7 Kg";"$6.783"
"28";"(Ref: 283183)";"Punta Paleta";"Al Vacío";"1,8 Kg";"$9.522"
