"codigo";"Marca";"descripcion";"cantidad";"precio"
"1";"(Ref: 264559)";"Lider";"Choclo en Granos Congelado Bolsa";"500 g";"$950"
"2";"(Ref: 264550)";"Minuto Verde";"Choclo Grano Bolsa";"500 g";"$990"
"3";"(Ref: 248998)";"Frutos del Maipo";"Arvejas Congeladas Bolsa";"500 g";"$1.350"
"4";"(Ref: 264522)";"Lider";"Papas Duquesas Pre-Fritas Bolsa";"1 Kg";"$2.790"
"5";"(Ref: 264587)";"Minuto Verde";"Poroto Verde Corte Francés Bolsa 350 g";"350 g";"$1.000"
"6";"(Ref: 558374)";"Minuto Verde";"Sofrito con Ajo Bolsa";"150 g";"$530"
"7";"(Ref: 286685)";"Frutos del Maipo";"Choclos en Granos Bolsa";"500 g";"$1.350"
"8";"(Ref: 392976)";"Lider";"Porotos Verdes Corte Francés Bolsa";"350 g";"$990"
"9";"(Ref: 286226)";"La Crianza";"Choclos Tiernos Bolsa";"400 g";"$1.190"
"10";"(Ref: 483306)";"Minuto Verde";"Zapallo en Cubos";"500 g";"$1.390"
"11";"(Ref: 345260)";"Frutos del Maipo";"Salteado Chapsui Wok Congelado Bolsa";"500 g";"$1.890"
"12";"(Ref: 249003)";"Frutos del Maipo";"Ensalada Primavera Bolsa";"500 g";"$1.350"
"13";"(Ref: 256595)";"Frutos del Maipo";"Poroto Verde Corte Normal Bolsa";"350 g";"$1.090"
"14";"(Ref: 259676)";"Minuto Verde";"Papas Duquesa Pre-Fritas Bolsa";"1 Kg";"$2.490"
"15";"(Ref: 264568)";"Lider";"Ensalada Primavera Congelada Bolsa";"500 g";"$1.090"
"16";"(Ref: 264580)";"Minuto Verde";"Primavera de Verduras Congelado Bolsa";"500 g";"$1.190"
"17";"(Ref: 264536)";"Lider";"Papas Pre-Fritas Bolsa";"1 Kg";"$2.250"
"18";"(Ref: 264544)";"Lider";"Arvejas Congeladas Bolsa";"500 g";"$990"
"19";"(Ref: 252580)";"Lider";"Habas Congeladas Bolsa";"500 g";"$1.290"
"20";"(Ref: 346588)";"Frutos del Maipo";"Papas Pre- Fritas Bolsa";"1 Kg";"$2.290"
"21";"(Ref: 264529)";"Lider";"Papas Pre Fritas Congeladas Bolsa";"500 g";"$1.290"
"22";"(Ref: 249001)";"Frutos del Maipo";"Sofrito Congelado Bolsa";"150 g";"$530"
"23";"(Ref: 455216)";"Frutos del Maipo";"Mix de Berries Congelados Bolsa";"400 g";"$2.390"
"24";"(Ref: 524113)";"Frutos del Maipo";"Papas Duquezas Congeladas Bolsa";"500 g";"$1.690"
"25";"(Ref: 637641)";"Minuto Verde";"Choclo Trozo";"680 g";"$2.990"
"26";"(Ref: 242217)";"Frutos del Maipo";"Papas Pre-Fritas Bolsa";"500 g";"$1.690"
"27";"(Ref: 346590)";"Frutos del Maipo";"Papas Duquesas Congeladas Bolsa";"1 Kg";"$2.290"
"28";"(Ref: 638697)";"Lider";"Frutos del Bosque Congelados";"400 g";"$1.890"
"29";"(Ref: 638694)";"Lider";"Arándanos Congelados";"400 g";"$2.390"
"30";"(Ref: 258795)";"Minuto Verde";"Papas Pre-Fritas Bolsa";"1 Kg";"$2.490"
"31";"(Ref: 631531)";"Frutos del Maipo";"Papa PreFrita Cubo";"750 g";"$1.990"
"32";"(Ref: 250572)";"Lider";"Espinaca Congelada";"";"$1.090"
"33";"(Ref: 286212)";"La Crianza";"Habas Tiernas Congeladas Bolsa";"400 g";"$1.490"
"34";"(Ref: 263153)";"Minuto Verde";"Arvejas Bolsa";"500 g";"$1.090"
"35";"(Ref: 655342)";"Frutos del Maipo";"Ayuda de Cocina (Bag in Bag)";"600 g";"$1.590"
"36";"(Ref: 455212)";"Frutos del Maipo";"Mix de Pimentones Congelados Bolsa";"150 g";"$530"
"37";"(Ref: 264516)";"Lider";"Papas Duquesas Congeladas Bolsa";"500 g";"$1.290"
"38";"(Ref: 655278)";"Minuto Verde";"Fondo de Alcachofa Premium";"400 g";"$2.990"
"39";"(Ref: 345127)";"Frutos del Maipo";"Salteado Thai Wok Congelado Bolsa";"500 g";"$1.890"
"40";"(Ref: 255155)";"Sabor Peruano";"Pulpa de Maracuyá Bolsa";"500 g";"$2.750"
"41";"(Ref: 286202)";"La Crianza";"Arvejas Tiernas Congeladas Bolsa";"400 g";"$1.190"
"42";"(Ref: 642196)";"Lider";"Frambuesas Congeladas";"400 g";"$2.390"
"43";"(Ref: 658587)";"Frutos del Maipo";"Smoothie Rojo";"500 g";"$2.690"
"44";"(Ref: 259606)";"Minuto Verde";"Pulpa de Frambuesa para Jugo Doypack";"333 g";"$1.650"
"45";"(Ref: 526235)";"Minuto Verde";"Mango en Trozo Bolsa";"500 g";"$2.690"
"46";"(Ref: 674802)";"Frutos del Maipo";"Jardinera de Verduras congeladas";"450 g";"$1.390"
"47";"(Ref: 250350)";"Lider";"Brocoli Congelado Bolsa";"350 g";"$1.090"
"48";"(Ref: 458492)";"Frutos del Maipo";"Base para Cocinar Tomaticán Bolsa";"400 g";"$1.150"
"49";"(Ref: 630641)";"Lider";"Choclo Dulce";"400 g";"$1.090"
"50";"(Ref: 391634)";"Selección";"Papas en Rodajas Bolsa";"500 g";"$1.690"
"51";"(Ref: 526233)";"Minuto Verde";"Piña en Trozo";"500 g";"$2.590"
"52";"(Ref: 391635)";"Lider";"Croquetas de Papas Bolsa";"500 g";"$1.390"
"53";"(Ref: 371293)";"Minuto Verde";"Ensalada Jardinera";"500 g";"$1.390"
"54";"(Ref: 455217)";"Frutos del Maipo";"Base para Cocinar Arvejado Congelado Bolsa";"400 g";"$1.150"
"55";"(Ref: 642197)";"Lider";"Frutillas Congeladas";"500 g";"$1.890"
"56";"(Ref: 259590)";"Minuto Verde";"Frutos del Bosque bolsa";"400 g";"$2.690"
"57";"(Ref: 253353)";"Guallarauco";"Jugo de Limón Caja";"750 g";"$4.790"
"58";"(Ref: 264575)";"Lider";"Ensalada Rusa Congelada Bolsa";"500 g";"$1.090"
"59";"(Ref: 259692)";"Minuto Verde";"Espárragos Congelados Bolsa";"350 g";"$2.190"
"60";"(Ref: 658586)";"Frutos del Maipo";"Smoothie Verde";"500 g";"$2.690"
"61";"(Ref: 259661)";"Minuto Verde";"Papas Duquesa Congeladas Bolsa";"500 g";"$1.890"
"62";"(Ref: 259047)";"Minuto Verde";"Pulpa de Piña para Jugo Congelado Doypack";"333 g";"$1.650"
"63";"(Ref: 654029)";"La Crianza";"Espárragos";"350 g";"$1.990"
