"codigo";"Marca";"descripcion";"cantidad";"precio"
"1";"(Ref: 612735)";"Colun";"Leche Descremada Sin Lactosa con Tapa";"1 L";"$980"
"2";"(Ref: 254314)";"Soprole";"Leche Descremada Natural sin Lactosa Caja";"1 L";"$950"
"3";"(Ref: 459330)";"Surlat";"Leche Descremada sin Lactosa Caja";"1 L";"$970"
"4";"(Ref: 612734)";"Colun";"Leche Sin Lactosa Semi Descremada con Tapa";"1 L";"$980"
"5";"(Ref: 254334)";"Soprole";"Leche Semidescremada sin Lactosa Sabor Chocolate Caja";"1 L";"$1.150"
"6";"(Ref: 500680)";"Lider";"Leche Descremada sin Lactosa Caja";"1 L";"$780"
"7";"(Ref: 294375)";"Loncoleche";"Leche Semidescremada Natural sin Lactosa Caja";"1 L";"$890"
"8";"(Ref: 391844)";"Tika";"Chips de Vegetales Nativos Mix Camotes, Papas y Betarragas Bolsa";"212 g";"$2.750"
"9";"(Ref: 437943)";"Mizos";"Galleta de Arroz Sabor a Chocolate";"20 g";"$380"
"10";"(Ref: 254324)";"Soprole";"Leche Semidescremada Natural sin Lactosa Caja";"1 L";"$950"
"11";"(Ref: 459328)";"Surlat";"Leche Semidescremada sin Lactosa Caja";"1 L";"$970"
"12";"(Ref: 500681)";"Lider";"Leche Semidescremada sin Lactosa Caja";"1 L";"$780"
"13";"(Ref: 426889)";"Loncoleche";"Leche Descremada Natural Extra Calcio sin Lactosa Caja";"1 L";"$1.190"
"14";"(Ref: 257002)";"Loncoleche";"Leche Descremada Natural sin Lactosa Caja";"1 L";"$890"
"15";"(Ref: 612733)";"Colun";"Leche Sin Lactosa Entera con Tapa";"1 L";"$980"
"16";"(Ref: 294358)";"Loncoleche";"Leche Entera Natural sin Lactosa Caja";"1 L";"$890"
"17";"(Ref: 252023)";"Mi Tierra";"Proteína Vegetal de Soya";"300 g";"$1.591"
"18";"(Ref: 542988)";"Loncoleche";"Leche Descremada Sin lactosa Chocolate Caja";"1 L";"$1.190"
"19";"(Ref: 308739)";"Regimel";"Mermelada Mora Bolsa";"200 g";"$880"
"20";"(Ref: 294395)";"Loncoleche";"Leche Semidescremada sin Lactosa Sabor Chocolate Caja";"1 L";"$1.190"
"21";"(Ref: 257039)";"Loncoleche";"Leche Sin Lactosa sabor Frutilla Caja";"1 L";"$1.190"
"22";"(Ref: 253358)";"Ecovida";"Galletas Integrales de Zanahoria sin Azúcar Bolsa";"150 g";"$1.190"
"23";"(Ref: 391846)";"Tika";"Chips de Camotes y Betarragas Nativos Bolsa";"232 g";"$2.790"
"24";"(Ref: 625866)";"Mizos";"Galleta de Arroz Chocolate y Naranja";"25 g";"$490"
"25";"(Ref: 257440)";"Watt's";"Mermelada sin Azúcar Mora Bolsa";"200 g";"$930"
"26";"(Ref: 308748)";"Regimel";"Mermelada Berries Sachet";"200 g";"$880"
"27";"(Ref: 429536)";"Cerealitas";"Galletas de Arroz Bolsa";"160 g";"$2.050"
"28";"(Ref: 462114)";"Tika";"Chips Artesanales Chiloe Bolsa";"212 g";"$2.790"
"29";"(Ref: 257430)";"Watt's";"Mermelada sin Azúcar Frambuesa Bolsa";"200 g";"$930"
"30";"(Ref: 308732)";"Regimel";"Mermelada Damasco sin Azúcar Sobre";"200 g";"$880"
"31";"(Ref: 527630)";"Mizos";"Pack Galletas Bolsa";"5 Un";"$1.490"
"32";"(Ref: 252606)";"Afe";"Jugo Líquido Sabor Manzana Botella 1 L";"1 L";"$2.450"
"33";"(Ref: 401963)";"En Línea";"Mermelada de Durazno con Stevia Bolsa";"200 g";"$770"
"34";"(Ref: 552965)";"Gullón";"Galleta de Oblea Sabor Chocolate sin Azúcar Bolsa";"210 g";"$1.990"
"35";"(Ref: 612991)";"Ecovida";"Galletas Chocolate con Frutillas Zero Azúcar";"225 g";"$1.430"
"36";"(Ref: 437944)";"Mizos";"Galletas de Arroz Integral Cubierta Cubierta Manzana Bolsa";"16 g";"$380"
"37";"(Ref: 612827)";"Noglut";"Pan de Molde Integral sin Gluten";"480 g";"$2.890"
"38";"(Ref: 504102)";"Kupiec";"Galleta Arroz Natural Bolsa";"90 g";"$1.290"
"39";"(Ref: 552967)";"Gullón";"Galleta Fibra Integral sin Azúcar Bolsa";"170 g";"$1.550"
"40";"(Ref: 401964)";"En Línea";"Mermelada de Damasco con Stevia Bolsa";"200 g";"$770"
"41";"(Ref: 459424)";"Inca Sur";"Cereal Quinoa Pop Bolsa";"100 g";"$1.850"
"42";"(Ref: 475352)";"Nutra Food";"Galletas de Limón y Amapola";"189 g";"$2.650"
"43";"(Ref: 657391)";"Tucapel";"Galletas de Arroz Con Arroz Integral Dulces";"150 g";"$1.190"
"44";"(Ref: 257417)";"Watt's";"Mermelada sin Azúcar Durazno Bolsa";"200 g";"$930"
"45";"(Ref: 471141)";"En Línea";"Mermelada de Frambuesa con Stevia Bolsa";"200 g";"$920"
"46";"(Ref: 256775)";"Regimel";"Mermelada Durazno Bolsa";"200 g";"$880"
"47";"(Ref: 437945)";"Mizos";"Galletas de Arroz Integral Cubierta Arándano Granada Bolsa";"16 g";"$380"
"48";"(Ref: 382959)";"Regimel";"Mermelada Frutilla sin Azúcar Bolsa";"200 g";"$880"
"49";"(Ref: 638256)";"Sana Locura";"Galletas de Arroz Integral con Chocolate Belga Negro";"64 g";"$1.590"
"50";"(Ref: 521349)";"Noglut";"Pan de Molde sin Gluten";"480 g";"$2.690"
"51";"(Ref: 298168)";"Gullón";"Galletas sin Azúcar Sabor Vainilla Bolsa";"70 g";"$790"
"52";"(Ref: 277829)";"Gullón";"Galleta con Chip de Chocolate Diet Bolsa";"125 g";"$1.690"
"53";"(Ref: 503146)";"Ecovida";"Galletas Diet Bolsa";"500 g";"$1.890"
"54";"(Ref: 637278)";"Vivo";"Mermelada  Mangos";"200 g";"$970"
"55";"(Ref: 401966)";"En Línea";"Mermelada de Mora con Stevia Bolsa";"200 g";"$920"
"56";"(Ref: 444683)";"Blue Dragon";"Spaghetti de Arroz Bolsa";"250 g";"$1.890"
"57";"(Ref: 549712)";"Snack Adventure";"Galletas de Arroz y Pera sin Gluten Bolsa";"50 g";"$690"
"58";"(Ref: 257407)";"Watt's";"Mermelada sin Azúcar Damasco Bolsa";"200 g";"$930"
"59";"(Ref: 623693)";"Mahou";"Six Pack Sin Gluten Cinco Estrellas";"1 un";"$7.290"
"60";"(Ref: 552966)";"Gullón";"Galleta Sandwich Sabor Chocolate sin Azúcar Bolsa";"250 g";"$2.090"
"61";"(Ref: 478980)";"Mi Tierra";"Harina de Linaza";"400 g";"$1.550"
"62";"(Ref: 504101)";"Kupiec";"Galletas de Arroz con Sésamo Bolsa";"90 g";"$1.290"
"63";"(Ref: 496449)";"Regimel";"Mermelada Mango Bolsa";"200 g";"$880"
"64";"(Ref: 545393)";"Dulce Locura";"Rollo de Arroz Crujiente Dulce 8 Un) Bolsa";"80 g";"$1.830"
"65";"(Ref: 253166)";"Ecovida";"Galletas Integrales Biscuit Quinoa sin Azúcar Bolsa";"150 g";"$1.190"
"66";"(Ref: 401965)";"En Línea";"Mermelada de Frutilla con Stevia Bolsa";"200 g";"$920"
"67";"(Ref: 510021)";"Loncoleche";"Leche sin Lactosa Sabor Vainilla";"1 L";"$1.190"
"68";"(Ref: 545394)";"Dulce Locura";"Rolls de Arroz Crujiente Canela 8 Un) Bolsa";"80 g";"$1.830"
"69";"(Ref: 657398)";"Cocomi";"Harina de Coco Orgánico 500 g";"500 g";"$2.890"
"70";"(Ref: 545524)";"Lider";"Galletas de Arroz con un Toque de Sal Bolsa";"100 g";"$890"
"71";"(Ref: 318767)";"Santiveri";"Cereal Corn Flakes Bolsa";"250 g";"$3.550"
"72";"(Ref: 592529)";"Rice Crisps";"Galleta de Arroz Integral Sabor Multigrano";"100 g";"$2.050"
"73";"(Ref: 420474)";"Gullón";"Pack Galletas Obleas Vainilla Display";"210 g";"$1.990"
"74";"(Ref: 471848)";"Tucapel";"Harina de Arroz Doypack";"500 g";"$910"
"75";"(Ref: 529696)";"Snack Adventure";"Brownie Sin Gluten";"45 g";"$1.390"
"76";"(Ref: 638263)";"Sana Locura";"Galletas de Arroz Integral con Amaranto y Mijo";"120 g";"$1.090"
"77";"(Ref: 253253)";"Ecovida";"Galleta Rellena Maní Bolsa";"150 g";"$1.370"
"78";"(Ref: 652498)";"Afe";"Jugo Sabor Manzana Roja Caja 200 ml";"200 ml";"$490"
"79";"(Ref: 252846)";"Nutra Food";"Galleta de Yogurt Sugar Free Caja";"189 g";"$2.650"
"80";"(Ref: 253267)";"Ecovida";"Galleta Emparedado de Frutilla Bolsa";"150 g";"$1.370"
"81";"(Ref: 543414)";"Convida";"Hallullas Pan de Arroz Prehorneado sin Gluten Bolsa";"250 g";"$1.690"
"82";"(Ref: 657390)";"Tucapel";"Galletas de Arroz Clásicas";"150 g";"$1.190"
"83";"(Ref: 459425)";"Inca Sur";"Pack Cereal Quínoa Pop";"12 g";"$2.050"
"84";"(Ref: 578178)";"Gallo";"Oblea de Arroz Cubierta de Chocolate";"3 Un de 20 g c/u";"$1.590"
"85";"(Ref: 625867)";"Mizos";"Galleta de Arroz Yoghurt y Limón";"25 g";"$490"
"86";"(Ref: 263100)";"Izkol";"Galletas de Chuño Light Sin Azucar";"125 g";"$990"
"87";"(Ref: 545523)";"Lider";"Galletas de Arroz Endulzada con Stevia y Sucralosa Bolsa";"100 g";"$890"
