"codigo";"Marca";"descripcion";"cantidad";"precio"
"1";"(Ref: 558142)";"Remington";"Secador de Pelo / D3190";"";"$18.990"
"2";"(Ref: 622167)";"Samsung";"Aspiradora de Arrastre / REB-VCC190V3E";"";"$44.990"
"3";"(Ref: 670813)";"Ursus Trotter";"Batidora de Pedestal UT-KLEIN700";"";"$99.990"
"4";"(Ref: 617849)";"Groven";"Batidora de Mano Blanca / HM1002";"";"$8.990"
"5";"(Ref: 617844)";"Groven";"Sandwichera Maker Negra / S6136";"";"$8.990"
"6";"(Ref: 621439)";"Groven";"Tostador Blanco 2 Rebanadas / TXT-028A";"";"$9.990"
"7";"(Ref: 537759)";"Keep";"Set Termo Mate + Termo Bala";"";"$9.990"
"8";"(Ref: 617843)";"Groven PRO";"Plancha a Vapor Negra / ES2331";"";"$9.990"
"9";"(Ref: 555667)";"Siegen";"Secador SG - 3012";"";"$9.990"
"10";"(Ref: 609374)";"Somela";"Hervidor 1.7 Litros / Inox Boil HE1723";"";"$9.990"
"11";"(Ref: 484122)";"Somela";"Exprimidor Vitamin CJ2000";"";"$10.990"
"12";"(Ref: 516196)";"Siegen";"Secador de Pelo / 2000 W / SG-3025S";"";"$10.990"
"13";"(Ref: 339923)";"Siegen";"Cortadora de Pelo SG 8200";"";"$11.990"
"14";"(Ref: 541710)";"Somela";"Batidora EasyMix HM250";"";"$12.000"
"15";"(Ref: 485868)";"Somela";"Sandwichera SandwichGrill SG450";"";"$12.000"
"16";"(Ref: 543353)";"Oster";"Exprimidor de Cítricos 407";"";"$12.990"
"17";"(Ref: 602376)";"Oster";"Tostador Eléctrico 3812";"";"$12.990"
"18";"(Ref: 625007)";"A3D";"Exfoliador Pedi Spin";"1 Un";"$12.990"
"19";"(Ref: 612280)";"Black & Decker";"Exprimidor de Citricos / CJ650W";"";"$12.990"
"20";"(Ref: 609474)";"Oster";"Stick Mixer 2609";"";"$13.990"
"21";"(Ref: 491248)";"Oster";"Plancha a Vapor GCSTBS5854";"";"$13.990"
"22";"(Ref: 617847)";"Groven PRO";"Hervidor 1.7 Litros Rojo / KE01402R";"";"$14.990"
"23";"(Ref: 509081)";"Gama";"Alisador CP1 Ceramic Ion";"";"$14.990"
"24";"(Ref: 617846)";"Groven Pro";"Hervidor 1.7 Litros Inox / KE01402S";"";"$14.990"
"25";"(Ref: 516199)";"Siegen";"Afeitadora SG-7210";"";"$14.990"
