"codigo";"Marca";"descripcion";"cantidad";"precio"
"1";"(Ref: 613911)";"Tomates";"Tomates Cocktail Pote Disney Caja";"125 gr";"$750"
"2";"(Ref: 614222)";"Disney";"Pack Colacion Frutos Secos Disney";"250 g";"$2.390"
"3";"(Ref: 613981)";"Disney";"Manzana Fuji";"550 g";"$590"
"4";"(Ref: 614219)";"Disney";"Maní y Pasas";"200 g";"$990"
"5";"(Ref: 613996)";"Disney";"Frutillas Pote Disney";"180 g";"$1.190"
"6";"(Ref: 614221)";"Disney";"Mix Nuez, Pasas, Semillas Calabaza";"200 g";"$1.890"
"7";"(Ref: 614220)";"Disney";"Mix Mani, Cramberries, Semillas Calabaza";"200 g";"$1.890"
"8";"(Ref: 256914)";"Llanquihue";"Jamón Artesanal Bolsa";"200 g";"$1.950"
"9";"(Ref: 256949)";"Llanquihue";"Salchichas Tradicional Paquete (5 Un)";"250 g";"$2.090"
"10";"(Ref: 631106)";"Lider";"Chorizo Parrillero";"1 Kg";"$2.490"
"11";"(Ref: 649780)";"Winter";"Salchicha Tradicional";"900 g";"$1.990"
"12";"(Ref: 443361)";"Llanquihue";"Lomo Kassler Bolsa";"125 g";"$2.090"
"13";"(Ref: 557836)";"PF";"Salamín Tipo Italiano Paquete";"250 g";"$2.290"
"14";"(Ref: 253858)";"San Jorge";"Paté Ternera Embutido";"125 g";"$340"
"15";"(Ref: 547728)";"Receta del Abuelo";"Prieta Bolsa";"350 g";"$1.390"
"16";"(Ref: 588660)";"Receta del Abuelo";"Salamín Ahumado";"250 g";"$2.190"
"17";"(Ref: 315476)";"La Crianza";"Longanicillas de Campo al Merkén Display";"280 g";"$1.990"
"18";"(Ref: 253968)";"San Jorge";"Vienesa de Pollo (20 Un)";"1 Kg";"$2.190"
"19";"(Ref: 259919)";"Los Astures";"Jamón Serrano Loncha";"80 g";"$2.990"
"20";"(Ref: 516505)";"Winter";"Salchichas de Pollo (20 Un) Bolsa";"1 Kg";"$1.990"
"21";"(Ref: 589550)";"La Crianza";"Pepperoni Laminado Bolsa";"141 g";"$2.590"
"22";"(Ref: 491198)";"Toledo";"Longaniza Parrillera Al Vacio";"400 g";"$2.990"
"23";"(Ref: 413694)";"Llanquihue";"Tocineta Ahumada Bolsa";"125 g";"$2.090"
"24";"(Ref: 516705)";"Winter";"Longanizas 12 Un) Bolsa";"1 Kg";"$2.490"
"25";"(Ref: 411798)";"Receta del Abuelo";"Salame Artesanal";"100 g";"$1.690"
"26";"(Ref: 319002)";"La Crianza";"Chorizo de Campo Display";"420 g";"$2.990"
"27";"(Ref: 560161)";"La Preferida";"Jamón Pierna de Cerdo Bolsa";"250 g";"$2.590"
"28";"(Ref: 557832)";"PF";"Salamín Ahumado";"250 g";"$2.390"
"29";"(Ref: 343474)";"Receta del Abuelo";"Paté de Campo Premium Embutido";"125 g";"$680"
"30";"(Ref: 250226)";"PF";"Choricillo Cocktail Display";"180 g";"$1.290"
"31";"(Ref: 640471)";"Trevedul";"Jamón serrano";"65 g";"$1.190"
"32";"(Ref: 263519)";"PF";"Mortadela Jamonada Display";"150 g";"$750"
"33";"(Ref: 288253)";"Chillán";"Longaniza Ahumada Parrillera Chillán";"500 g";"$3.990"
"34";"(Ref: 627795)";"Receta del Abuelo";"Salchichas de Pavo (10 Un)";"500 g";"$2.290"
"35";"(Ref: 696262)";"PF";"Jamon Pierna Ahumado Grado 1";"200 g";"$2.390"
"36";"(Ref: 562052)";"La Preferida";"Longaniza con Carne de Angus Bolsa";"500 g";"$3.490"
"37";"(Ref: 606486)";"Receta del Abuelo";"Longanicilla Sureña";"200 g";"$1.390"
"38";"(Ref: 627791)";"PF";"Jamón Pierna Finissimas";"125 g";"$1.390"
"39";"(Ref: 263442)";"PF";"Mini Salchichón Cervecero Embutido";"400 g";"$1.790"
"40";"(Ref: 543866)";"Super Pollo";"Pechuga de Pollo Acaramelada Bolsa";"250 g";"$1.890"
"41";"(Ref: 630511)";"La Crianza";"Chorizo Patagónico";"420 g";"$2.990"
"42";"(Ref: 531001)";"Montina";"Salchichas de Pavo (20 unidades) Display";"1 Kg";"$2.690"
"43";"(Ref: 543863)";"Super Cerdo";"Jamón Sándwich de Cerdo Bolsa";"250 g";"$990"
"44";"(Ref: 252602)";"Lider";"Paté de Pollo Embutido";"125 g";"$290"
"45";"(Ref: 318831)";"Lider";"Paté de Ternera Embutido";"125 g";"$330"
"46";"(Ref: 250156)";"PF";"Paté de Pavo Embutido";"125 g";"$350"
"47";"(Ref: 311733)";"PF";"Paté Cerdo Embutido";"125 g";"$350"
"48";"(Ref: 250149)";"PF";"Paté Ave Embutido";"125 g";"$350"
"49";"(Ref: 311303)";"PF";"Paté Ternera Embutido";"125 g";"$390"
"50";"(Ref: 253832)";"San Jorge";"Paté de Ave Embutido";"125 g";"$390"
"51";"(Ref: 247629)";"PF";"Paté de Jamón Embutido";"125 g";"$390"
"52";"(Ref: 253844)";"San Jorge";"Paté Jamón San Jorge Display";"125 g";"$450"
"53";"(Ref: 246080)";"San Jorge";"Paté de Ternera Embutido";"150 g";"$550"
"54";"(Ref: 549321)";"PF";"Pasta Jamón Serrano Embutidos";"125 g";"$620"
"55";"(Ref: 681677)";"Receta del Abuelo";"Pate De Ternera";"125 gr";"$650"
"56";"(Ref: 689500)";"Receta del Abuelo";"Pate Teewurst";"125 gr";"$650"
"57";"(Ref: 240679)";"San Jorge";"Mortadela San Jorge Display";"150 g";"$650"
