"codigo";"Marca";"descripcion";"cantidad";"precio"
"1";"(Ref: 255910)";"Interam";"Entrecot Cordero Caja";"500 g";"$9.590"
"2";"(Ref: 655483)";"Agromarin";"Cordero Trozado";"1 kg";"$6.990"
"3";"(Ref: 657730)";"Agromarin";"Entrecot";"700 g";"$8.990"
"4";"(Ref: 255941)";"Interam";"Chuleton Cordero 1200 gr";"1200 g";"$15.990"
"5";"(Ref: 270978)";"Interam";"Lomito De Cordero";"500 g";"$18.490"
"6";"(Ref: 270976)";"Interam";"Pierna Deshuesada Cordero";"1200 g";"$19.490"
"7";"(Ref: 257637)";"Interam";"Chuleta Francesa Cordero";"500 g";"$20.990"
"8";"(Ref: 257628)";"Interam";"Chuleta Cordero Parrilera";"1500 g";"$22.990"
"9";"(Ref: 280768)";"Papas";"Papas Malla";"2 Kg";"$1.990"
"10";"(Ref: 394727)";"Tomates";"Tomates Quillota Granel";"1 Kg";"$1.290"
"11";"(Ref: 283593)";"Champiñones";"Champiñones Blanco Bandeja";"200 g";"$1.050"
"12";"(Ref: 452108)";"Zanahoria";"Zanahoria Bolsa";"1 Un";"$750"
"13";"(Ref: 280746)";"Zapallo";"Zapallo Italiano Unidad";"1 Un";"$550"
"14";"(Ref: 280873)";"Papas";"Papas Malla";"5 Kg";"$5.390"
"15";"(Ref: 283501)";"Cebolla";"Cebolla Malla";"1 Kg";"$950"
"16";"(Ref: 592425)";"Lechuga";"Lechuga Escarola Unidad";"1 Un";"$750"
"17";"(Ref: 391786)";"Zapallo";"Zapallo Camote Bolsa";"1 Un";"$1.090"
"18";"(Ref: 283498)";"Pepino";"Pepino Ensalada Unidad";"1 Un";"$550"
"19";"(Ref: 280681)";"Espinaca";"Bolsa Hojas de Espinaca";"500 g";"$790"
"20";"(Ref: 447257)";"Pimiento";"Pimiento Rojo Unidad";"1 Un";"$850"
"21";"(Ref: 367409)";"Brócoli";"Brócoli Film Unidad";"1 Un";"$950"
"22";"(Ref: 281634)";"Ajo";"Ajo Malla";"3 Un";"$1.090"
"23";"(Ref: 342309)";"Papas";"Papas Granel";"1 Kg";"$1.190"
"24";"(Ref: 281893)";"Tomates";"Tomates Quillota Malla";"1 Kg";"$1.250"
"25";"(Ref: 520735)";"Lechuga";"Lechuga Hoja de Roble Verde Hidroponica Unidad";"1 Un";"$1.090"
"26";"(Ref: 617111)";"Tomates";"Tomates Cocktail Pote Caja";"250 g";"$1.090"
"27";"(Ref: 283170)";"Pimiento";"Pimiento Verde Unidad";"1 Un";"$550"
"28";"(Ref: 283096)";"Apio";"Apio Bolsa";"1 Un";"$890"
"29";"(Ref: 283906)";"Cebolla";"Cebolla Morada Malla";"1 Kg";"$1.450"
"30";"(Ref: 280731)";"Papas";"Papas Soufflé Malla";"2 Kg";"$1.890"
"31";"(Ref: 326332)";"Lechuga";"Lechuga Costina Unidad";"1 Un";"$850"
"32";"(Ref: 280871)";"Cilantro";"Cilantro Bolsa";"120 g";"$520"
"33";"(Ref: 282364)";"Acelga";"Acelga Bolsa";"1 Un";"$750"
"34";"(Ref: 548137)";"Lechuga";"Lechuga Escarola Bandeja";"2 Un";"$1.390"
"35";"(Ref: 282970)";"Cebollín";"Cebollín Bolsa";"3 Un";"$650"
"36";"(Ref: 516022)";"Tomates";"Tomates Racimo Granel";"1 Kg";"$1.590"
"37";"(Ref: 281321)";"Lechuga";"Lechuga Milanesa Unidad";"1 Un";"$750"
"38";"(Ref: 480769)";"Tomates";"Tomates Pera Granel";"1 Kg";"$1.390"
"39";"(Ref: 276777)";"Zapallo";"Zapallo Butternut Unidad";"1 Kg";"$1.590"
"40";"(Ref: 281664)";"Ensalada";"Apio Bastones Bolsa";"500 g";"$1.690"
"41";"(Ref: 281121)";"Rúcula";"Rúcula Bolsa";"1 Un";"$1.090"
"42";"(Ref: 453679)";"Lechuga";"Lechuga Bionda Hidropónica";"1 Un";"$950"
"43";"(Ref: 283945)";"Betarragas";"Betarragas Bolsa";"5 Un";"$990"
"44";"(Ref: 284748)";"Choclo";"Choclo Dulce Bandeja";"1 Un";"$2.990"
"45";"(Ref: 283845)";"Ensalada";"Ensalada Zanahoria Baby Bolsa";"1 Un";"$3.090"
"46";"(Ref: 281089)";"Repollo";"Repollo Crespo Unidad";"1 Un";"$990"
"47";"(Ref: 282676)";"Cebolla";"Cebolla Tubular Malla";"3 Un";"$1.090"
"48";"(Ref: 282021)";"Ensalada";"Repollo Blanco 300 g";"1 Un";"$1.350"
"49";"(Ref: 282559)";"Camotes";"Camotes Granel";"1 Kg";"$1.990"
"50";"(Ref: 349564)";"Cebolla";"Cebolla Granel";"1 Kg";"$990"
"51";"(Ref: 281809)";"Ciboulette";"Ciboulette Bandeja 1 Un";"1 Un";"$550"
"52";"(Ref: 613911)";"Tomates";"Tomates Cocktail Pote Disney Caja";"125 gr";"$750"
"53";"(Ref: 282220)";"Ensalada";"Ensalada Napolitana Bolsa";"300 g";"$1.350"
"54";"(Ref: 284147)";"Ensalada";"Espinaca Bolsa";"200 g";"$1.890"
"55";"(Ref: 282370)";"Pimiento";"Pimiento Amarillo Unidad";"1 Un";"$890"
"56";"(Ref: 458705)";"Jengibre";"Jengibre Bandeja";"120 g";"$1.190"
"57";"(Ref: 282489)";"Champiñones";"Champiñones Portobello Bandeja";"200 g";"$1.350"
"58";"(Ref: 281933)";"Tomates";"Tomates Cocktail Romanita Caja";"1 Un";"$1.890"
"59";"(Ref: 609620)";"Lechuga";"Lechuga Crespa Roja";"1 Un";"$750"
"60";"(Ref: 284865)";"Cebollín";"Cebollín Bolsa";"6 Un";"$1.150"
"61";"(Ref: 401119)";"Perejil";"Perejil Bolsa";"120 g";"$450"
"62";"(Ref: 282679)";"Zapallo";"Zapallo Picado Bolsa";"500 g";"$1.890"
"63";"(Ref: 284674)";"Repollo";"Repollo Morado Unidad";"1 Un";"$1.190"
"64";"(Ref: 283967)";"Ensalada";"Ensalada Toscana Bolsa";"300 g";"$1.490"
"65";"(Ref: 283163)";"Pepino";"Pepino Alaska Unidad";"1 Un";"$950"
"66";"(Ref: 283237)";"Zanahoria";"Zanahoria Rallada Bolsa";"300 g";"$1.390"
"67";"(Ref: 282042)";"Lechuga";"Lechuga Corazones de Costina";"3 Un";"$2.390"
"68";"(Ref: 282553)";"Cebolla";"Cebolla Pickera Malla";"1 Kg";"$950"
"69";"(Ref: 284543)";"Ají";"Ají Verde Bandeja";"125 g";"$890"
"70";"(Ref: 282095)";"Apio";"Apio Corazones Dole Bolsa";"1 Un";"$2.290"
"71";"(Ref: 284788)";"Champiñones";"Champiñones Bandeja";"400 g";"$1.990"
"72";"(Ref: 447256)";"Berros";"Berros Pote";"200 g";"$1.490"
