"codigo";"Marca";"descripcion";"cantidad";"precio"
"1";"(Ref: 262989)";"Alquimia";"Papel de Fotocopias Tamaño Carta 500 Hojas";"1 Un";"$2.990"
"2";"(Ref: 346559)";"Giotto";"Lápices Gruesos de Colores Mega (12 Colores) Caja";"1 Un";"$2.990"
"3";"(Ref: 262922)";"Marzú";"Pliego de Papel Kafft";"1 Un";"$190"
"4";"(Ref: 254555)";"Marzú";"Pelota de Plumavit 3,5 cm";"1 Un";"$190"
"5";"(Ref: 262930)";"Marzú";"Papel Mantequilla";"1 Un";"$290"
"6";"(Ref: 642319)";"Maped";"Regla 20 cm";"1 Un";"$290"
"7";"(Ref: 594688)";"Artel";"Cartulina Color Bermellon";"1 Un";"$290"
"8";"(Ref: 612211)";"Artel";"Cartulina Color Verde Claro";"1 Un";"$290"
"9";"(Ref: 594720)";"Artel";"Cartulina Color Naranja";"1 Un";"$290"
"10";"(Ref: 151228)";"Artel";"Cartulina Color Turquesa";"1 Un";"$290"
"11";"(Ref: 594721)";"Artel";"Cartulina Color Violeta";"1 Un";"$290"
"12";"(Ref: 611202)";"Artel";"Cartulina Color Verde Oscuro 53X75 cm";"1 Un";"$290"
"13";"(Ref: 594687)";"Artel";"Cartulina Color Celeste";"1 Un";"$290"
"14";"(Ref: 253944)";"Marzú";"Pelota Plumavit 5 Cms";"1 Un";"$290"
"15";"(Ref: 594681)";"Artel";"Cartulina Color Negro";"1 Un";"$290"
"16";"(Ref: 372969)";"Artel";"Cartulina Color Blanca";"1 Un";"$290"
"17";"(Ref: 594719)";"Artel";"Cartulina Color Amarillo";"1 Un";"$290"
"18";"(Ref: 594689)";"Artel";"Cartulina Color Rosado";"1 Un";"$290"
"19";"(Ref: 151239)";"Artel";"Cartulina Color Amarillo";"1 Un";"$350"
"20";"(Ref: 253882)";"Marzú";"Pelota de Plumavit 7 cm";"1 Un";"$390"
"21";"(Ref: 347160)";"Marzú";"Cubo de Plumavit";"1 Un";"$390"
"22";"(Ref: 348942)";"Artel";"Cuchillo Cartonero Grande Con Freno";"1 Un";"$490"
"23";"(Ref: 624778)";"Artel";"Cartulina Española Color Amarillo Giallo 50X70 cm";"1 Un";"$490"
"24";"(Ref: 348955)";"Artel";"Goma de Borrar Factis S20 Miga";"1 Un";"$490"
"25";"(Ref: 624776)";"Artel";"Cartulina Española Color Blanco 50X70 cm";"1 Un";"$490"
"26";"(Ref: 255095)";"Marzú";"Cáñamo Natural 10 mts";"1 Un";"$490"
"27";"(Ref: 347149)";"Artel";"Cola Fría 40g";"1 Un";"$490"
