"codigo";"Marca";"descripcion";"cantidad";"precio"
"1";"(Ref: 651446)";"Omo";"Pack Limpieza 2 Detergentes Líquidos 3 L c/u + Cif 750 ml + Quix 500 ml";"1 Un";"$14.490"
"2";"(Ref: 508273)";"Great Value";"Detergente Líquido Oxi Energía Botella";"4,43 L";"$8.990"
"3";"(Ref: 508272)";"Great Value";"Detergente Ultra Concentrado Cold Water Botella";"4,43 L";"$8.990"
"4";"(Ref: 430870)";"Omo";"Detergente Líquido Multiacción Botella";"3 L";"$10.590"
"5";"(Ref: 555049)";"Omo";"Detergente Líquido Progress Doypack";"2,8 L";"$10.190"
"6";"(Ref: 684936)";"Drive";"Pack 3 Detergentes Líquido Mix 3 Litros c/u";"1 Un";"$18.990"
"7";"(Ref: 561304)";"Ariel";"Detergente Ropa Blanca y de Color 75 Lavados Botella";"3 L";"$16.590"
"8";"(Ref: 498721)";"Drive";"Detergente Líquido Perfect Results Recarga";"3 L";"$10.590"
"9";"(Ref: 646097)";"Omo";"Pack 2 Omo Polvo + Quix + Soft";"1 Un";"$16.190"
"10";"(Ref: 244921)";"Popeye";"Detergente Líquido Hipoalergénico Doypack";"3 L";"$8.650"
"11";"(Ref: 661163)";"Ariel ";"Pack 3 Detergente Líquido Ariel Concentrado 3x1,9 Lt";"1 Un";"$18.990"
"12";"(Ref: 266564)";"Soft";"Suavizante para la Ropa Soft Diluido Clasico";"5 L";"$6.790"
"13";"(Ref: 516200)";"Omo";"Detergente Líquido Multiacción Soft y Aloe Vera Doypack";"3 L";"$10.190"
"14";"(Ref: 320840)";"Drive";"Detergente Polvo Matic Intelligent";"3 Kg";"$11.350"
"15";"(Ref: 553575)";"Omo";"Detergente Líquido Hipoalergénico Piel Sensible";"3 L";"$10.190"
"16";"(Ref: 453418)";"Rinso";"Detergente Líquido Azul Recarga";"3 L";"$6.700"
"17";"(Ref: 621333)";"Omo";"Detergente Líquido Hipoalergénico Piel Sensible";"3 L";"$11.190"
"18";"(Ref: 394141)";"Fuzol";"Pack Detergente Líquido Forte";"2 Botellas de 3,5 L c/u";"$12.390"
"19";"(Ref: 269827)";"Popeye";"Detergente Líquido Hipoalergénico Botella";"3 L";"$10.490"
"20";"(Ref: 667463)";"Soft";"Suavizante para Ropa Tradicional";"1.5 L";"$2.290"
"21";"(Ref: 623809)";"Ariel";"Detergente en Polvo Recarga";"9 Kg";"$19.990"
"22";"(Ref: 446472)";"Omo";"Detergente Líquido Matic Multiacción";"3 L";"$10.190"
"23";"(Ref: 561252)";"Drive";"Detergente Líquido Cápsulas Recarga";"20 Un";"$9.590"
"24";"(Ref: 561303)";"Ariel";"Detergente Ropa Blanca y de Color 47 Lavados Botella";"1,9 L";"$11.290"
"25";"(Ref: 520382)";"Omo";"Detergente Líquido Multiacción Soft y Aloe Vera Botella";"3 L";"$10.590"
"26";"(Ref: 394139)";"Fuzol";"Detergente Líquido Forte Display";"3 L";"$7.850"
"27";"(Ref: 498720)";"Drive";"Detergente Líquido Perfect Results Botella";"3 L";"$10.990"
"28";"(Ref: 270928)";"Fuzol";"Suavizante Piel Extra Sensible Botella";"2 L";"$1.890"
"29";"(Ref: 320851)";"Rinso";"Detergente Polvo Matic Frescura del Mar";"3 Kg";"$6.400"
