"codigo";"Marca";"descripcion";"cantidad";"precio"
"1";"(Ref: 266058)";"Champion Dog";"Alimento Perro Adulto Carne y Cereal";"15 Kg";"$14.690"
"2";"(Ref: 671919)";"Dog Chow";"Alimento Perro Adulto Razas Medianas y Grandes Vida Sana";"15 Kg";"$23.990"
"3";"(Ref: 318946)";"Pedigree";"Alimento Perro Adulto Carne, Pollo y Cereales";"15 Kg";"$20.190"
"4";"(Ref: 266052)";"Champion Dog";"Alimento Perro Adulto Carne & Vegetales";"15 Kg";"$14.690"
"5";"(Ref: 258437)";"Master Dog";"Alimento Perro Adulto Carne, Arroz y Vegetales";"15 Kg";"$16.150"
"6";"(Ref: 443664)";"Cannes";"Alimento Perro Adulto Carne y Cereales";"15 Kg";"$16.890"
"7";"(Ref: 544644)";"Dog Chow";"Alimento Perro Adulto Razas Pequeñas Vida Sana Bolsa";"8 Kg";"$19.190"
"8";"(Ref: 289016)";"Sabro Kan";"Alimento Perro Adulto Carne y Arroz Bolsa 18 Kg";"18 Kg";"$15.190"
"9";"(Ref: 544653)";"Dog Chow";"Alimento Cachorro Raza Mediana y Grande";"8 Kg";"$18.290"
"10";"(Ref: 519201)";"Dog Chow";"Alimento Seco Adulto";"12 Kg";"$23.790"
"11";"(Ref: 519038)";"Pedigree";"Dentastix Cuidado Dientes Razas Grandes 7 Un) Bolsa";"270 g";"$2.050"
"12";"(Ref: 334218)";"Pedigree";"Alimento Perro Adulto Carnes y Vegetales";"15 Kg";"$20.190"
"13";"(Ref: 544656)";"Dog Chow";"Alimento Seco Cachorro Raza Pequeña";"3 Kg";"$8.250"
"14";"(Ref: 561024)";"Master Dog";"Alimento Perro Adulto Razas Pequeñas Carne Bolsa";"8 Kg";"$14.990"
"15";"(Ref: 495827)";"Champion Dog";"Alimento Cachorro Carne, Pollo y Leche";"15 Kg";"$14.990"
"16";"(Ref: 544651)";"Dog Chow";"Alimento Seco Perros Adultos Mayores 7 años";"15 Kg";"$28.790"
"17";"(Ref: 625731)";"Pedigree";"Alimento Perro Vital Adulto Razas Pequeñas con Omega 6 Bolsa";"3 Kg";"$7.150"
"18";"(Ref: 436692)";"Sabro Kan";"Alimento Perro Adulto Carne y Arroz Bolsa";"9 Kg";"$7.490"
"19";"(Ref: 443665)";"Cannes";"Alimento Perro Adulto Carne y Vegetales Bolsa";"15 Kg";"$16.890"
"20";"(Ref: 613417)";"Dog Chow";"Alimento Seco Perros Adultos Mayores 7 Años";"8 Kg";"$17.650"
"21";"(Ref: 544643)";"Dog Chow";"Alimento Seco Perro Adulto Raza Pequeña";"3 Kg";"$8.550"
"22";"(Ref: 656255)";"Bionic";"Alimento Perro Adulto Sabor Carne";"15 Kg";"$19.650"
"23";"(Ref: 497764)";"Cachupin";"Alimento Seco Perro Adulto Sabor Carne";"9 Kg";"$7.890"
"24";"(Ref: 561026)";"Pedigree";"Alimento Húmedo Perro Adulto Sabor Carne Sobre";"100 g";"$500"
"25";"(Ref: 511278)";"Guau Forte";"Alimento Perro Adulto Carne";"9 Kg";"$5.890"
"26";"(Ref: 577051)";"Champion Dog";"Alimento Perro Senior Carne Pollo y Vegetales Bolsa";"8 Kg";"$12.190"
"27";"(Ref: 488804)";"Doguitos";"Snacks para Perro Tira de Asado";"65 g";"$950"
"28";"(Ref: 561027)";"Pedigree";"Alimento Húmedo Perro Adulto Sabor Pollo Sobre";"100 g";"$500"
"29";"(Ref: 236790)";"Master Dog";"Alimento Perro Adulto Pollo, Arroz y Vegetales";"15 Kg";"$16.150"
"30";"(Ref: 253424)";"Pedigree";"Alimento Seco Carne Pollo Vegetal Adulto Raza Pequeña";"9 Kg";"$19.350"
"31";"(Ref: 519037)";"Pedigree";"Dentastix Cuidado Dientes Razas Medianas 7 Un) Bolsa";"180 g";"$1.750"
"32";"(Ref: 608977)";"Dentalife";"Snack Medium/Small Cuidado Oral Bolsa";"10 Un";"$2.090"
"33";"(Ref: 443668)";"Cannes";"Alimento Cachorro Carne y Leche Bolsa";"15 Kg";"$15.290"
"34";"(Ref: 594953)";"Buddy Pet";"Huesos Mini Triple Sabores";"7 Un";"$2.990"
"35";"(Ref: 258445)";"Master Dog";"Alimento para Perro Adultos Razas Pequeñas Bolsa";"3 Kg";"$7.590"
"36";"(Ref: 628510)";"Cannes";"Alimento Seco Premium Carne, Pollo y Cereales Adulto Razas Pequeñas";"3 kg";"$6.290"
"37";"(Ref: 519035)";"Pedigree";"Dentastix Cuidado Dientes Razas Pequeñas 7 Un) Bolsa";"110 g";"$1.590"
"38";"(Ref: 657097)";"Dog Chow";"Alimento Húmedo Pavo y Pollo";"374 g";"$1.490"
"39";"(Ref: 335693)";"Pedigree";"Alimento Perro Senior Carne, Pollo y Cereales";"9 Kg";"$18.850"
"40";"(Ref: 280204)";"Champion Dog";"Galletas para Perro Adulto Caja";"500 g";"$1.790"
"41";"(Ref: 560227)";"Buddy Pet";"Pads de Entrenamiento para Cachorros Bolsa";"10 Un";"$3.690"
"42";"(Ref: 625730)";"Pedigree";"Alimento Perro Vital Adulto 7+ Bolsa";"3 Kg";"$7.990"
"43";"(Ref: 608976)";"Dentalife";"Snack Large Dogs Cuidado Oral Bolsa";"7 Un";"$2.090"
"44";"(Ref: 625732)";"Pedigree";"Alimento Perro Vital Cachorro Bolsa";"3 Kg";"$6.850"
"45";"(Ref: 293855)";"Champion Dog";"Alimento Perro Raza Pequeña Carne, Pollo y Vegetales";"8 Kg";"$11.190"
"46";"(Ref: 519024)";"Pedigree";"Jumbune Bolsa";"100 g";"$1.050"
"47";"(Ref: 658089)";"Cannes";"Alimento Húmedo Perro Adulto Sabor Pollo";"375 g";"$1.050"
"48";"(Ref: 560449)";"Buddy Pet";"Hueso para Perro 7-8";"";"$2.890"
"49";"(Ref: 594967)";"Champion Dog";"Alimento Seco Perro Senior Sabor Carne, Pollo & Vegetales";"2,7 Kg";"$5.990"
"50";"(Ref: 280194)";"Champion Dog";"Alimento Perro Adulto Raza Pequeña Pollo y Vegetal";"3 Kg";"$7.390"
"51";"(Ref: 607925)";"Dog Chow";"Alimento Perro Adulto Razas Medianas y Grandes Vida Sana";"3 Kg";"$8.390"
