"codigo";"Marca";"descripcion";"cantidad";"precio"
"1";"(Ref: 619970)";"Parent's Choice";"Colado Orgánico Manzana Pera Uva 90 g";"90 g";"$550"
"2";"(Ref: 688170)";"Parent's Choice";"Jugo Manzana Ciruela";"90 ml";"$500"
"3";"(Ref: 688169)";"Parent's Choice";"Jugo Arándano, Manzana y Pera";"90 ml";"$500"
"4";"(Ref: 688168)";"Parent's Choice";"Jugo Manzana Frambuesa";"90 ml";"$500"
"5";"(Ref: 690095)";"Parent's Choice";"Jugo de Manzana";"90 ml";"$500"
"6";"(Ref: 688167)";"Parent's Choice";"Jugo de Pera";"90 ml";"$500"
"7";"(Ref: 655404)";"Nidal";"Fórmula Láctea de Continuación";"800 g";"$8.390"
"8";"(Ref: 297142)";"Similac";"Fórmula Láctea Similac 2";"900 g";"$15.490"
"9";"(Ref: 628289)";"Similac";"Fórmula de Continuación Etapa 2";"1400 g";"$22.490"
"10";"(Ref: 402174)";"Nan";"Fórmula Láctea en Polvo con Proteínas y Hierro para Lactantes Tarro";"400 g";"$11.290"
"11";"(Ref: 251798)";"Nan";"Fórmula Infantil Optipro Junior 3 Tarro";"800 g";"$10.990"
"12";"(Ref: 377668)";"Nestlé";"Colado Naturnes Creciditos Carne Verdura";"215 g";"$1.290"
"13";"(Ref: 558413)";"Similac";"Fórmula Láctea Similac Total Comfort 1";"820 g";"$20.490"
"14";"(Ref: 263383)";"Nestlé";"Colado Naturnes Creciditos Pollo con Verduras";"215 g";"$1.290"
"15";"(Ref: 349127)";"Nan";"Fórmula Infantil sin LactosaTarro";"400 g";"$10.790"
"16";"(Ref: 264653)";"Nestlé";"Picado Naturnes Recetas Caseras Carbonada";"250 g";"$1.650"
"17";"(Ref: 263396)";"Nestlé";"Picado Naturnes Recetas Caseras Cazuela de Ave";"250 g";"$1.650"
"18";"(Ref: 251889)";"Nestlé";"Picado Naturnes Recetas Caseras Charquicán";"250 g";"$1.650"
"19";"(Ref: 628288)";"Similac";"Fórmula de Inicio Etapa 1";"1400 g";"$29.890"
"20";"(Ref: 606943)";"Nestlé";"Colado Picado Porotos con Tallarines";"215 g";"$1.290"
"21";"(Ref: 263423)";"Nestlé";"Colado Picado Carne, Papas, Zanahoria y Espinaca";"215 g";"$1.290"
"22";"(Ref: 263446)";"Nestlé";"Colado Naturnes Picado Naturnes Carne Vacuno, Fideos y Verduras";"218 g";"$1.290"
"23";"(Ref: 639713)";"Pigeon";"Limpiador de Biberones Recarga";"650 ml";"$5.290"
"24";"(Ref: 306746)";"Nestlé";"Colado Crecidito Zapallito Italiano con Carne Frasco";"215 g";"$1.290"
"25";"(Ref: 254711)";"Nutra Bebé";"Aceite de Omega 3 Botella";"240 cc";"$2.290"
"26";"(Ref: 270893)";"Nan";"Fórmula Láctea de Continuación en Polvo L -2 Confortis";"900 gr";"$13.290"
"27";"(Ref: 263460)";"Nestlé";"Colado Picado Pollo, Arroz y Zanahoria Frasco";"215 g";"$1.290"
"28";"(Ref: 678338)";"Nestum";"Cereal Infantil 5 Cereales";"200 g";"$1.000"
"29";"(Ref: 292425)";"Calo";"Purita cereal";"800 g";"$3.790"
"30";"(Ref: 263434)";"Nestlé";"Picado Recetas Caseras Cazuela Vacuno Frasco";"250 g";"$1.650"
"31";"(Ref: 622664)";"Parent's Choice";"Galleta de Arroz Sabor Banana";"50 g";"$1.790"
"32";"(Ref: 263366)";"Nestlé";"Colado Pavo y Verduras";"215 g";"$1.290"
"33";"(Ref: 622663)";"Parent's Choice";"Galleta de Arroz Sabor Manzana";"50 g";"$1.790"
"34";"(Ref: 252020)";"Nestlé";"Picado Naturnes Pollo con Verduras";"215 g";"$1.290"
"35";"(Ref: 606827)";"Smiley Kids";"Puré Orgánico de Pera + Plátano + Mango 120 g";"113 g";"$890"
"36";"(Ref: 626704)";"Nestum";"Nestum 5 Cereales";"250 g";"$1.590"
"37";"(Ref: 606829)";"Smiley Kids";"Puré Orgánico de Manzana + Plátano + Arándano 120 g";"113 g";"$890"
"38";"(Ref: 659588)";"Bebeglo";"Reja de Seguridad (Surtido)";"1 Un";"$27.990"
"39";"(Ref: 263483)";"Nestlé";"Complemento Nutricional Nessucar";"550 g";"$4.190"
"40";"(Ref: 348586)";"Nidal";"Formula Láctea Infantil de Inicio en Polvo Para Lactantes Tarro";"800 g";"$9.590"
"41";"(Ref: 688234)";"
Parent's Choice";"Colado Papa Dulce Uva Manzana Orgánico 1 Un";"1 Un";"$550"
"42";"(Ref: 688233)";"
Parent's Choice";"Colado Arándano Platano Espinaca Kale Arroz Int Orgánico 1 Un";"1 Un";"$550"
"43";"(Ref: 521455)";"Nestlé";"Fructoso Manzana Pera Durazno Doypack";"1 Un";"$640"
"44";"(Ref: 521457)";"Nestlé";"Fructoso Mix Tropical Doypack";"1 Un";"$650"
"45";"(Ref: 672456)";"Smiley Kids";"Puffs Arándano";"12 g";"$650"
"46";"(Ref: 672457)";"Smiley Kids";"Puffs Frutilla";"12 g";"$650"
"47";"(Ref: 672604)";"Ama";"Colado Orgánico Manzana & Arándano 90 g";"90 g";"$690"
"48";"(Ref: 295770)";"Nestlé";"Postre de Frutas Naturnes Durazno";"115 g";"$750"
"49";"(Ref: 689253)";"Heinz";"Colado Carne Verdura";"113 g";"$790"
"50";"(Ref: 689254)";"Heinz";"Colado Poroto Pollo";"113 g";"$790"
"51";"(Ref: 263354)";"Nestlé";"Colado Naturnes Pollo y Verdura";"132 g";"$850"
"52";"(Ref: 263344)";"Nestlé";"Colado Naturnes Carne y Verdura";"132 g";"$850"
"53";"(Ref: 263409)";"Nestlé";"Colado Pavo con Verduras Frasco";"132 g";"$850"
"54";"(Ref: 396102)";"Parent's Choice";"Rollitos de Algodón Bolsa";"25 Un";"$890"
"55";"(Ref: 606828)";"Smiley Kids";"Puré Orgánico de Manzana + Camote + Zanahoria 120 g";"113 g";"$890"
"56";"(Ref: 627702)";"Smiley Kids";"Pure Orgánicoo Manzana Pera Canela 113 g";"113 g";"$890"
"57";"(Ref: 558489)";"Parent´s Choice";"Prendedor Chupete";"1 Un";"$900"
"58";"(Ref: 408150)";"Parent's Choice";"Varitas Anatómicas de Seguridad 100% Algodón Caja";"55 Un";"$990"
"59";"(Ref: 656635)";"Parent's Choice";"Plato Bebé Diseño Surtido";"1 Un";"$1.000"
"60";"(Ref: 547759)";"Parent's Choice";"Pack Mamaderas";"3 Un";"$1.000"
"61";"(Ref: 656645)";"Parent's Choice";"Compresa Bebé Diseño Surtido";"1 Un";"$1.000"
"62";"(Ref: 656644)";"Parent's Choice";"Dispensador de Pañales";"1 Un";"$1.000"
"63";"(Ref: 656641)";"Parent's Choice";"Mordedor";"1 Un";"$1.000"
"64";"(Ref: 656639)";"Parent's Choice";"Termometro";"1 Un";"$1.000"
"65";"(Ref: 656640)";"Parent's Choice";"Porta Chupete";"1 Un";"$1.000"
"66";"(Ref: 656637)";"Parent's Choice";"Vasito de Entrenamiento Diseño Surtido";"1 Un";"$1.000"
"67";"(Ref: 630928)";"Parent's Choice";"Pack Mamadera Color (Surtida)";"3 Un";"$1.000"
"68";"(Ref: 630930)";"Parent's Choice";"Dispensador de Formulas";"1 Un";"$1.000"
"69";"(Ref: 656636)";"Parent's Choice";"Plato Bebé Diseño Surtido";"1 Un";"$1.000"
"70";"(Ref: 656643)";"Parent's Choice";"Sonajero Diseño Surtido";"1 Un";"$1.000"
"71";"(Ref: 622373)";"Italtoys";"Tomajugo Boquilla Diseños Surtido";"1 Un";"$1.000"
"72";"(Ref: 656647)";"Parent's Choice";"Cucharitas Diseño Surtido";"1 Un";"$1.000"
"73";"(Ref: 431993)";"Huggies";"Apósitos Post-Parto";"";"$1.190"
"74";"(Ref: 381080)";"San Remo";"Esponja Infantil (Surtido)";"1 Un";"$1.290"
"75";"(Ref: 621192)";"Parent's Choice";"Cepillo de Dientes Silicona 6+ con Estuche";"1 Un";"$1.290"
"76";"(Ref: 554790)";"Parent's Choice";"Mamadera";"250 ml";"$1.290"
"77";"(Ref: 617038)";"Parent's Choice";"Chupete Para Mamadera Flujo Alto";"3 Un";"$1.290"
"78";"(Ref: 689256)";"Smiley Kids";"Galletas Granjeritas Sabor Chocolate";"115 g";"$1.290"
"79";"(Ref: 689255)";"Smiley Kids";"Galletas Granjeritas Sabor Vainilla";"115 g";"$1.290"
"80";"(Ref: 419884)";"Best House";"Figuras Animales";"1 un";"$1.290"
"81";"(Ref: 617006)";"Parent's Choice";"Chupete Para Mamadera +0 Meses";"3 Un";"$1.290"
"82";"(Ref: 621190)";"Parent's Choice";"Mamadera Boca Standar 250 ml";"1 Un";"$1.290"
"83";"(Ref: 547763)";"Parent's Choice";"Chupetes";"2 Un";"$1.290"
"84";"(Ref: 617034)";"Parent's Choice";"Chupete Para Mamadera Flujo Medio";"3 Un";"$1.290"
"85";"(Ref: 630929)";"Parent's Choice";"Pack 2 Chupetes de 6+ Meses";"2 Un";"$1.290"
"86";"(Ref: 621193)";"Parent's Choice";"Mordedor Enfriable 3+ Meses";"1 Un";"$1.290"
"87";"(Ref: 419360)";"Parent's Choice";"Plato Hondo";"1 Un";"$1.290"
"88";"(Ref: 554639)";"Parent's Choice";"Mamadera";"125 cc";"$1.290"
"89";"(Ref: 649825)";"Parent's Choice";"Protectores de Silicona para Esquinas";"1 Un";"$1.490"
"90";"(Ref: 654046)";"Parent's Choice";"Seguro para Golpes de Puertas";"1 Un";"$1.490"
"91";"(Ref: 617040)";"Parent's Choice";"Plato Con Divisiones";"1 Un";"$1.490"
"92";"(Ref: 649832)";"Parent's Choice";"Cubre Enchufes";"1 Un";"$1.490"
"93";"(Ref: 649829)";"Parent's Choice";"Seguridad para Artefactos Electricos";"1 Un";"$1.490"
"94";"(Ref: 649826)";"Parent's Choice";"Cerradura Corredera Plástica";"1 Un";"$1.490"
"95";"(Ref: 649827)";"Parent's Choice";"Cerradura Plástica para Horno y Cajones";"1 Un";"$1.490"
"96";"(Ref: 499055)";"PediaSure";"Complemento Nutricional Sabor Vainilla Botella";"237 ml";"$1.590"
"97";"(Ref: 419920)";"Best House";"Animales Redonditos";"1 Un";"$1.590"
"98";"(Ref: 419922)";"Best House";"Patito";"1 un";"$1.590"
"99";"(Ref: 419880)";"Best House";"Vehiculos";"2 un";"$1.590"
"100";"(Ref: 419883)";"Best House";"Animales Con Pito";"1 un";"$1.590"
"101";"(Ref: 672460)";"Nestlé";"Picado Naturnes Pastel de Choclo";"250 g";"$1.650"
"102";"(Ref: 672459)";"Nestlé";"Picado Naturnes Pollo Arverjado";"250 g";"$1.650"
"103";"(Ref: 672458)";"Nestlé";"Picado Naturnes Carne, Zanahoria y Arroz";"250 g";"$1.650"
"104";"(Ref: 626706)";"Nestum";"Nestum Trigo y Miel";"250 g";"$1.650"
"105";"(Ref: 647115)";"Nestum";"Cereal Infantil Sabor Cacao";"250 g";"$1.690"
"106";"(Ref: 647116)";"Nestum";"Cereal Infantil Sabor Frutilla";"250 g";"$1.690"
"107";"(Ref: 547758)";"Parent's Choice";"Pack Mamaderas";"3 Un";"$1.700"
"108";"(Ref: 454802)";"Kendy";"Bacinica Grande.";"1 Un";"$1.890"
"109";"(Ref: 419362)";"Parent's Choice";"Vaso Antiderrame";"";"$1.990"
"110";"(Ref: 617042)";"Parent's Choice";"Mamadera Boca Ancha con Asa";"1 Un";"$1.990"
"111";"(Ref: 678414)";"Italtoys";"Bowl Minnie";"1 Un";"$1.990"
"112";"(Ref: 630932)";"Parent's Choice";"Pack Cucharas + Tenedores";"1 Un";"$1.990"
"113";"(Ref: 630931)";"Parent's Choice";"Atrapa Snacks";"1 Un";"$1.990"
"114";"(Ref: 258980)";"Safety 1st";"Baby on Board";"1 Un";"$1.990"
"115";"(Ref: 678415)";"Italtoys";"Bowl Paw Patrol Niña";"1 Un";"$1.990"
"116";"(Ref: 419365)";"Parent's Choice";"Dosificador Alimento";"1 Un";"$1.990"
"117";"(Ref: 339114)";"Simond's";"Chupete de Silicona Ortodóncico +6 Meses";"1 Un";"$1.990"
"118";"(Ref: 600143)";"Parent's Choice";"Cuchara Para Pouch";"1 Un";"$1.990"
"119";"(Ref: 678413)";"Italtoys";"Bowl Mickey";"1 Un";"$1.990"
"120";"(Ref: 621191)";"Parent's Choice";"Alimentador de Fruta 6+ Meses";"1 Un";"$1.990"
"121";"(Ref: 689307)";"Baby Mum-Mum";"Galleta Original";"50 g";"$1.990"
"122";"(Ref: 678412)";"Italtoys";"Bowl Paw Patrol";"1 Un";"$1.990"
"123";"(Ref: 419361)";"Parent's Choice";"Vaso Reutilizable con Boquilla";"4 Un";"$1.990"
"124";"(Ref: 678423)";"Italtoys";"Vaso Minnie";"1 Un";"$1.990"
"125";"(Ref: 689308)";"Baby Mum-Mum";"Galleta Manzana y Zapallo";"50 g";"$1.990"
"126";"(Ref: 667153)";"Disney";"Set 3 Piezas Tomajugo Bebé Minnie";"1 Un";"$1.990"
"127";"(Ref: 519402)";"Parent's Choice";"Vaso Antiderrame";"1 Un";"$1.990"
"128";"(Ref: 398801)";"Joy";"Traba Multiuso 18 Cm.";"1 Un";"$1.990"
"129";"(Ref: 265291)";"Disney";"Chupete Entretención Minnie";"2 Un";"$2.100"
"130";"(Ref: 265160)";"Best House";"Esponja Extra Suave";"1 un";"$2.190"
"131";"(Ref: 639387)";"Nestum";"Nestum Arroz Avena Ciruela";"270 g";"$2.190"
"132";"(Ref: 626424)";"Kendy";"Bacinica  Baby Potty";"1 Un";"$2.290"
"133";"(Ref: 242419)";"Simond's";"Absorbentes de Leche Clásicos Caja";"24 Un";"$2.290"
"134";"(Ref: 692168)";"Nosotras";"Protector de Lactancia";"20 Un";"$2.490"
"135";"(Ref: 295360)";"Simond's";"Repuesto Chupete Mamadera Boca Standard 2 Un";"2 Un";"$2.490"
"136";"(Ref: 626170)";"Simond's";"Chupetes para Mamadera Boca Ancha";"1 Un";"$2.490"
"137";"(Ref: 288704)";"Simond's";"Mamadera Boca Standard Clásica 2";"240 ml";"$2.590"
"138";"(Ref: 547352)";"Simond's";"Chupete Luminos Ortodóncico +6 Meses";"1 Un";"$2.690"
"139";"(Ref: 654927)";"Best House";"Set de Seguridad para Puertas 2 Piezas";"1 Un";"$2.990"
"140";"(Ref: 630933)";"Parent's Choice";"Pack Platos con Separación";"3 Un";"$2.990"
"141";"(Ref: 678418)";"Italtoys";"Bowl Cereal Minnie";"1 Un";"$2.990"
"142";"(Ref: 249989)";"Simond's";"Cuchara Indica Temperatura";"3 Un";"$2.990"
"143";"(Ref: 678416)";"Italtoys";"Bowl Cereal Paw Patrol";"1 Un";"$2.990"
"144";"(Ref: 678419)";"Italtoys";"Bowl Cereal Paw Patrol Niña";"1 Un";"$2.990"
"145";"(Ref: 678417)";"Italtoys";"Bowl Cereal Mickey";"1 Un";"$2.990"
"146";"(Ref: 618078)";"Winfun";"My Jungle Set";"1 Un";"$3.000"
"147";"(Ref: 595932)";"Nutra Mamá";"Aceite de Omega 3 Botella";"250 ml";"$3.290"
"148";"(Ref: 252189)";"Simond's";"Absorbentes de Leche Premium Caja";"30 g";"$3.290"
"149";"(Ref: 295398)";"Simond's";"Mamadera Boca Ancha Baby Care 2";"260 ml";"$3.290"
"150";"(Ref: 545110)";"Simond's";"Vaso 6+ Meses";"1 Un";"$3.290"
"151";"(Ref: 646329)";"Pigeon";"Chupete Peristaltico S, Biberón Boca Estandar.";"1 Un";"$3.490"
"152";"(Ref: 254992)";"Pigeon";"Chupete Peristálico Boca Standard (2 a 3 Meses)";"1 Un";"$3.490"
"153";"(Ref: 243243)";"Simond's";"Repuesto Chupete Flujo Variable (2 Un) 1 Un";"";"$3.490"
"154";"(Ref: 522161)";"Simond's";"Vaso con Asas 4+ Meses";"1 Un";"$3.490"
"155";"(Ref: 255002)";"Pigeon";"Chupete Peristáltico Boca Ancha (2 a 3 Meses)";"1 Un";"$3.490"
"156";"(Ref: 308138)";"Nuk";"Tetina Silicona 2-M.";"1 un";"$3.590"
"157";"(Ref: 251149)";"Swiss Beauty";"Protectores Mamarios";"";"$3.590"
"158";"(Ref: 308139)";"Nuk";"Tetina Silicona 2-L.";"1 un";"$3.590"
"159";"(Ref: 522521)";"Nuk";"Clip Chupete";"1 un";"$3.590"
"160";"(Ref: 236595)";"Pigeon";"Chupete Silicona 0-5 m";"1 Un";"$3.790"
"161";"(Ref: 255010)";"Pigeon";"Chupete Silicona 8m+";"1 Un";"$3.790"
"162";"(Ref: 288875)";"Pigeon";"Chupete Silicona Step 2";"5 a 8 Meses";"$3.790"
"163";"(Ref: 236523)";"Baby Dulccitto";"Protector de Ojos";"1 Un";"$3.990"
"164";"(Ref: 619949)";"Simond's";"Aspirador Nasal Breathe-eez";"1 Un";"$3.990"
"165";"(Ref: 523770)";"Simond's";"Mordedor Chewbies Calmante";"1 Un";"$3.990"
"166";"(Ref: 542547)";"Safety 1ST";"Termometro Para Agua";"1 Un";"$3.990"
"167";"(Ref: 678421)";"Italtoys";"Plato con Divisiones Paw Patrol Niña";"1 Un";"$3.990"
"168";"(Ref: 678420)";"Italtoys";"Plato con Divisiones Paw Patrol";"1 Un";"$3.990"
"169";"(Ref: 381079)";"San Remo";"Orinal Infantil (Surtido)";"1 Un";"$3.990"
"170";"(Ref: 434953)";"Tommee Tippee";"Mordedor Para Bebé de 3 Meses a más";"2 Unidades";"$3.990"
"171";"(Ref: 660653)";"Parent's Choice";"Cojín para Cuello 25cm (Diseños Surtidos)";"1 Un";"$3.990"
"172";"(Ref: 639576)";"Simond's";"Mamamdera Boca Ancha Peppa Pig 270 ml";"1 Un";"$4.390"
"173";"(Ref: 626171)";"Simond's";"Taza Wondercup con asa";"1 Un";"$4.490"
