"codigo";"Marca";"descripcion";"cantidad";"precio"
"1";"(Ref: 454698)";"St. Ives";"Crema Corporal Humectación Profunda Botella";"1000 ml";"$5.390"
"2";"(Ref: 382816)";"Neutrogena";"Toallitas Desmaquillantes Night Calming Bolsa";"25 Un";"$2.290"
"3";"(Ref: 536908)";"Nivea";"Desmaquillante Bífasico de Ojos Botella 125 ml";"125 ml";"$4.190"
"4";"(Ref: 539380)";"St. Ives";"Crema Corporal Colágeno y Elastina Botella";"1000 ml";"$5.390"
"5";"(Ref: 264528)";"Equate";"Pétalos Desmaquillantes Paquete";"80 Un";"$890"
"6";"(Ref: 615767)";"Lubriderm";"Crema Extra Humectante Botella";"400 ml";"$4.790"
"7";"(Ref: 502726)";"Neutrogena";"Desmaquillante de Ojos Libre de Aceite Botella";"113 ml";"$4.990"
"8";"(Ref: 539808)";"Lubriderm";"Crema Corporal Reparación Intensiva Botella";"750 ml";"$7.090"
"9";"(Ref: 251159)";"Swiss Beauty";"Algodones Redondos Multiuso 80 Unidades) Bolsa";"1 Un";"$930"
"10";"(Ref: 539807)";"Lubriderm";"Crema Corporal Extra Humectante Botella";"750 ml";"$6.450"
"11";"(Ref: 242667)";"Neutrogena";"Toallitas Desmaquillantes Refill Pack Bolsa";"25 Un";"$2.390"
"12";"(Ref: 418186)";"Neutrogena";"Gel Limpiador Facial Oil - Free Botella";"177 ml";"$4.990"
"13";"(Ref: 239067)";"Maci";"Algodones Redondos Multiuso Bolsa";"60 Un";"$1.150"
"14";"(Ref: 604114)";"Lechuga";"Crema Corporal Leche Intensiva Botella";"800 ml";"$4.590"
"15";"(Ref: 592064)";"Loreal";"Crema Facial Hidra-Total 5 Todo Tipo de Piel +35";"50 ml";"$3.550"
"16";"(Ref: 250320)";"Equate";"Quita Esmalte Limón Botella";"110 ml";"$1.290"
"17";"(Ref: 603236)";"Skin Naturals";"Agua Micelar Todo en 1 Todo Tipo de Piel";"400 ml";"$4.990"
"18";"(Ref: 515946)";"Nivea";"Crema Facial Caja";"50 cc";"$3.750"
"19";"(Ref: 577255)";"Nivea";"Loción Limpiadora 3 en 1 con Aceite de Almendras Botella";"200 g";"$4.190"
"20";"(Ref: 578685)";"Nivea";"Gel-Crema Good-Bye Celulitis Q10 Plus Pomo";"200 g";"$7.190"
"21";"(Ref: 515969)";"Nivea";"Crema Intensiva de Día";"50 cc";"$3.750"
"22";"(Ref: 614628)";"Pielarmina";"Castaña Crema de Manos";"1 Un";"$1.890"
"23";"(Ref: 262452)";"Nivea";"Toallitas Desmaquillantes Suaves Bolsa";"25 Un";"$2.050"
"24";"(Ref: 252108)";"St. Ives";"Exfoliante Fresh Skin";"283 g";"$5.390"
"25";"(Ref: 646825)";"Nivea";"Crema Facial Antiarrugas 55+";"50 ml";"$4.490"
"26";"(Ref: 250492)";"Equate";"Copos de Algodón Bolsa";"50 Un";"$590"
"27";"(Ref: 262844)";"Acuenta";"Acetona Pura Botella";"60 ml";"$690"
"28";"(Ref: 624790)";"Parent's Choice";"Toalla Parents Choice";"20 un";"$790"
"29";"(Ref: 399050)";"Equate";"After Sun Gel Aloe Frasco";"567 ml";"$890"
"30";"(Ref: 471627)";"Nivea";"Crema Corporal Soft Milk Piel Seca Botella";"125 ml";"$940"
"31";"(Ref: 539832)";"Pielarmina";"Crema Hidratante para Manos Bolsa";"100 g";"$1.000"
"32";"(Ref: 691803)";"Lubriderm";"Crema Protección Solar 120 ml";"120 ml";"$1.000"
"33";"(Ref: 680976)";"Nivea";"Toallas Desmaquillantes 20 un";"1 un";"$1.000"
"34";"(Ref: 692200)";"Nivea";"Crema Body Satin";"125 ml";"$1.000"
"35";"(Ref: 628576)";"Equate";"Bloqueador Loción Sport SPF 30";"237 ml";"$1.000"
"36";"(Ref: 680978)";"Nivea";"Crema Aclarado";"125 ml";"$1.000"
"37";"(Ref: 294417)";"Equate";"Pétalos Desmaquillantes Bolsa";"60 Un";"$1.090"
"38";"(Ref: 262818)";"Bellekiss";"Crema Emulsionante Bellekiss Frasco";"610 ml";"$1.220"
"39";"(Ref: 528255)";"Cala";"Toallas Desmaquillantes Colágeno Bolsa";"30 g";"$1.290"
"40";"(Ref: 507039)";"Nivea";"Crema Corporal Reafirmante Q10 Plus Botella";"125 ml";"$1.350"
"41";"(Ref: 313820)";"Cala";"Toallas Desmaquillantes Pepino Bolsa";"30 g";"$1.490"
"42";"(Ref: 672426)";"Equate";"Pack Petalos";"160 Un";"$1.550"
"43";"(Ref: 630922)";"Equate";"Quita Esmalte sin Acetona";"177 ml";"$1.590"
"44";"(Ref: 313811)";"Cala";"Toallas Desmaquillantes Aloe Vera Bolsa";"30 g";"$1.590"
"45";"(Ref: 630923)";"Equate";"Quita Esmalte Regular";"177 ml";"$1.590"
"46";"(Ref: 569189)";"Lechuga";"Crema de Manos Anti Age H Pomo";"75 g";"$1.690"
"47";"(Ref: 670892)";"Familand";"Crema Corporal Castana Pomo";"200 ml";"$1.790"
"48";"(Ref: 670893)";"Familand";"Crema Corporal Avena Pomo";"200 ml";"$1.790"
"49";"(Ref: 253089)";"Pielarmina";"Crema de Manos Parafina Humectante Pomo";"80 g";"$1.890"
"50";"(Ref: 627164)";"Pielarmina";"Crema Argan";"80 g";"$1.890"
"51";"(Ref: 673716)";"Skin Naturals";"Mini Agua Micelar Todo en 1";"100 ml";"$1.950"
