"codigo";"Marca";"descripcion";"precio"
"1";"(Ref: 672774)";"
Parent's Choice";"Wipes Biodegradables (120 Un)";"$1.990"
"2";"(Ref: 672775)";"
Parent's Choice";"Wipes Biodegradables (140 Un)";"$1.990"
"3";"(Ref: 622340)";"Parent's Choice";"Toallitas Húmedas Ultra Soft con Aceite de Emu y sin Aroma (2 Un de 80 Un c/u)";"$1.990"
"4";"(Ref: 639444)";"Babysec";"Toallitas Húmedas Suaves Premium (2 Un 80 c/u)";"$1.990"
"5";"(Ref: 638958)";"Emuwipes";"Toallitas Húmedas Premium 85 Un c/u Bolsa";"$2.490"
"6";"(Ref: 638957)";"Emuwipes";"Toallitas Húmedas sin Alcohol (2 Bolsas de 80 Un c/u) Bolsa 2 Un";"$1.990"
"7";"(Ref: 562770)";"Huggies";"Toallitas Húmedas One Done";"$1.000"
"8";"(Ref: 264904)";"Babysec";"Toallas Húmedas Bolsa";"$1.290"
"9";"(Ref: 631399)";"Huggies";"Toallitas Húmedas Premium";"$4.990"
"10";"(Ref: 346178)";"Babysec";"Pañales Sabanillas Infantiles 8 Un";"$2.634"
"11";"(Ref: 654244)";"Huggies";"Toallitas Húmedas Soft Skin";"$990"
"12";"(Ref: 622346)";"Parent's Choice";"Pack 2 Toallitas Húmedas Manos y Carita";"$990"
"13";"(Ref: 638954)";"Simond's";"Toallitas Húmedas Gloss (2 Un de 80 Un c/u)";"$2.990"
"14";"(Ref: 638869)";"Simond's";"Toallitas Húmedas Baby Care con Aloe";"$2.990"
"15";"(Ref: 622345)";"Parent's Choice";"Pack Toallitas Húmedas Piel Sensible";"$1.490"
"16";"(Ref: 622341)";"Parent's Choice";"Toallitas Húmedas Ultra Soft con Aceite de Emu";"$890"
"17";"(Ref: 622347)";"Parent's Choice";"Toallitas Húmedas Manitos y Caritas";"$590"
"18";"(Ref: 672773)";"
Parent's Choice";"Wipes Biodegradables (40 Un)";"$890"
"19";"(Ref: 608068)";"Huggies";"Toallitas Húmedas Manitos y Carita";"$990"
"20";"(Ref: 691002)";"Babysec";"Toallitas Humedas Super Premium";"$1.090"
"21";"(Ref: 622342)";"Parent's Choice";"Toallitas Húmedas Ultra Soft con Aceite de Emu 135 Un";"$1.990"
"22";"(Ref: 541113)";"Safety 1st";"Jarro para Baño";"$1.990"
"23";"(Ref: 622343)";"Parent's Choice";"Toallitas Húmedas Ultra Soft con Aceite de Emu 160 Un";"$1.990"
"24";"(Ref: 654247)";"Huggies";"Toallitas Húmedas Limpieza y Frescura";"$2.090"
"25";"(Ref: 638868)";"Simond's";"Toallitas Húmedas Baby Care";"$2.990"
"26";"(Ref: 622344)";"Parent's Choice";"Toallitas Húmedas Ultra Soft con Aceite de Emu 400 Un";"$3.990"
"27";"(Ref: 265110)";"Bambino";"Mudadores Basics";"$4.990"
"28";"(Ref: 695696)";"Tommee Tippee";"Contenedor de Pañales Sangenic";"$19.990"
"29";"(Ref: 658194)";"Great Value";"Aceite De Coco";"$3.990"
"30";"(Ref: 293383)";"Chef";"Aceite de Maravilla Botella";"$1.430"
"31";"(Ref: 270117)";"Lider";"Aceite 100% Maravilla Botella";"$1.190"
"32";"(Ref: 250724)";"Natura";"Aceite 100% Maravilla Botella";"$1.590"
"33";"(Ref: 293387)";"Belmont";"Aceite Vegetal Botella";"$1.550"
"34";"(Ref: 519205)";"Acuenta";"Aceite 100% Vegetal Botella";"$790"
"35";"(Ref: 646434)";"Miraflores";"Aceite Vegetal";"$1.000"
"36";"(Ref: 279170)";"Banquete";"Aceite de Oliva Extra Virgen Botella";"$2.990"
"37";"(Ref: 603390)";"Lider";"Aceite de Oliva Extra Virgen Bidón";"$13.290"
"38";"(Ref: 259691)";"Lider";"Aceite de Oliva Extra Virgen Botella";"$5.650"
"39";"(Ref: 542723)";"Terra Santa";"Aceite de Oliva Extra Virgen Botella";"$5.950"
"40";"(Ref: 330486)";"Sol de Aculeo";"Aceite de Oliva Extra Virgen Pet Transparente";"$10.550"
"41";"(Ref: 243216)";"Huasco";"Aceite de Oliva Extra Virgen Botella";"$6.550"
"42";"(Ref: 455151)";"Chef";"Aceite de Oliva Botella";"$5.950"
"43";"(Ref: 257336)";"Chef";"Aceite 100% Pepita de Uva Botella";"$4.850"
"44";"(Ref: 243129)";"Natura";"Aceite 100% Maravilla Botella";"$2.060"
"45";"(Ref: 278995)";"Kardámili";"Aceite de Oliva Extra Virgen Botella";"$6.850"
"46";"(Ref: 455153)";"Belmont";"Aceite de Canola Botella";"$2.150"
"47";"(Ref: 279004)";"Arbequina";"Aceite de Oliva Botella";"$2.950"
"48";"(Ref: 257350)";"Chef";"Aceite de Oliva Extra Virgen Botella";"$3.090"
"49";"(Ref: 257282)";"Mazola";"Aceite Canola Botella";"$2.450"
"50";"(Ref: 263959)";"Lider";"Aceite de Oliva Extra Virgen Botella";"$2.690"
"51";"(Ref: 264259)";"Talliani";"Aceto Balsámico Botella";"$2.890"
"52";"(Ref: 454778)";"Oro Maule";"Aceite de Oliva Extra Virgen Botella";"$5.390"
"53";"(Ref: 485282)";"Lobos";"Sal de Mesa";"$350"
"54";"(Ref: 259773)";"Sol de Aculeo";"Aceite Oliva Extra Virgen Arbequina Sol de Aculeo Botella";"$5.190"
"55";"(Ref: 342957)";"Acuenta";"Aceite Vegetal Bidón";"$4.400"
"56";"(Ref: 279182)";"Banquete";"Aceite de Oliva Extra Virgen Botella";"$6.830"
"57";"(Ref: 260613)";"Gourmet";"Salsa de Soya Botella";"$1.930"
"58";"(Ref: 473506)";"Talliani";"Aceite de Oliva Extra Virgen Botella";"$6.790"
